ds,kpi,value,baseline,z_score,risk_level,detectors,root_cause_json,validation_status,injected_label
2017-02-22,payment_fail_rate,0.13114754098360656,0.0477852261130199,1.8427287316148553,NONE,"{'rule': True, 'z': False, 'iqr': True, 'iforest': False}","{""primary_kpi"": ""payment_fail_rate"", ""evidence"": [{""dimension"": ""customer_state"", ""top"": [{""segment"": ""PR"", ""today"": 1.0, ""baseline"": 3.933333333333333, ""delta"": -2.933333333333333, ""pct_contrib"": 0.12221177108349826}, {""segment"": ""RJ"", ""today"": 6.0, ""baseline"": 8.448275862068966, ""delta"": -2.448275862068966, ""pct_contrib"": 0.10200277131969099}, {""segment"": ""RR"", ""today"": 0.0, ""baseline"": 2.0, ""delta"": -2.0, ""pct_contrib"": 0.08332620755693064}, {""segment"": ""ES"", ""today"": 0.0, ""baseline"": 1.4736842105263157, ""delta"": -1.4736842105263157, ""pct_contrib"": 0.061398258199843625}, {""segment"": ""MS"", ""today"": 0.0, ""baseline"": 1.4285714285714286, ""delta"": -1.4285714285714286, ""pct_contrib"": 0.05951871968352189}]}, {""dimension"": ""product_category_name"", ""top"": [{""segment"": ""moveis_decoracao"", ""today"": 11.0, ""baseline"": 7.0, ""delta"": 4.0, ""pct_contrib"": -0.09293526014326062}, {""segment"": ""moveis_escritorio"", ""today"": 0.0, ""baseline"": 3.2941176470588234, ""delta"": -3.2941176470588234, ""pct_contrib"": 0.07653492011797933}, {""segment"": ""brinquedos"", ""today"": 0.0, ""baseline"": 2.7857142857142856, ""delta"": -2.7857142857142856, ""pct_contrib"": 0.06472277045691364}, {""segment"": ""telefonia"", ""today"": 1.0, ""baseline"": 3.4615384615384617, ""delta"": -2.4615384615384617, ""pct_contrib"": 0.05719092931892961}, {""segment"": null, ""today"": 0.0, ""baseline"": 2.0833333333333335, ""delta"": -2.0833333333333335, ""pct_contrib"": 0.04840378132461491}]}, {""dimension"": ""payment_type"", ""top"": [{""segment"": ""credit_card"", ""today"": 39.0, ""baseline"": 43.53333333333333, ""delta"": -4.533333333333331, ""pct_contrib"": 0.6613407433136506}, {""segment"": ""debit_card"", ""today"": 0.0, ""baseline"": 1.0833333333333333, ""delta"": -1.0833333333333333, ""pct_contrib"": 0.15804098645362977}, {""segment"": ""boleto"", ""today"": 13.0, ""baseline"": 13.666666666666666, ""delta"": -0.6666666666666661, ""pct_contrib"": 0.09725599166377209}, {""segment"": ""voucher"", ""today"": 2.0, ""baseline"": 2.5714285714285716, ""delta"": -0.5714285714285716, ""pct_contrib"": 0.08336227856894761}]}]}",WARN,
2017-03-01,orders,93.0,60.333333333333336,2.194976498806902,LOW,"{'rule': True, 'z': False, 'iqr': True, 'iforest': False}","{""primary_kpi"": ""orders"", ""evidence"": [{""dimension"": ""customer_state"", ""top"": [{""segment"": ""SP"", ""today"": 42.0, ""baseline"": 21.4, ""delta"": 20.6, ""pct_contrib"": 1.2907451373777097}, {""segment"": ""GO"", ""today"": 4.0, ""baseline"": 1.5625, ""delta"": 2.4375, ""pct_contrib"": 0.15272773166787218}, {""segment"": ""RS"", ""today"": 6.0, ""baseline"": 3.6206896551724137, ""delta"": 2.3793103448275863, ""pct_contrib"": 0.14908171154848002}, {""segment"": ""RR"", ""today"": 0.0, ""baseline"": 2.0, ""delta"": -2.0, ""pct_contrib"": -0.125315061881331}, {""segment"": ""PB"", ""today"": 3.0, ""baseline"": 1.2, ""delta"": 1.8, ""pct_contrib"": 0.11278355569319792}]}, {""dimension"": ""product_category_name"", ""top"": [{""segment"": ""cama_mesa_banho"", ""today"": 17.0, ""baseline"": 5.1, ""delta"": 11.9, ""pct_contrib"": -5.734726737405827}, {""segment"": ""esporte_lazer"", ""today"": 10.0, ""baseline"": 4.733333333333333, ""delta"": 5.266666666666667, ""pct_contrib"": -2.5380583319611225}, {""segment"": ""moveis_decoracao"", ""today"": 11.0, ""baseline"": 7.533333333333333, ""delta"": 3.466666666666667, ""pct_contrib"": -1.6706206742022578}, {""segment"": ""brinquedos"", ""today"": 6.0, ""baseline"": 2.6666666666666665, ""delta"": 3.3333333333333335, ""pct_contrib"": -1.6063660328867864}, {""segment"": ""cool_stuff"", ""today"": 6.0, ""baseline"": 2.7037037037037037, ""delta"": 3.2962962962962963, ""pct_contrib"": -1.5885175214102665}]}, {""dimension"": ""payment_type"", ""top"": [{""segment"": ""boleto"", ""today"": 35.0, ""baseline"": 13.433333333333334, ""delta"": 21.566666666666666, ""pct_contrib"": 0.6209544121567583}, {""segment"": ""credit_card"", ""today"": 56.0, ""baseline"": 44.233333333333334, ""delta"": 11.766666666666666, ""pct_contrib"": 0.3387896560917089}, {""segment"": ""voucher"", ""today"": 5.0, ""baseline"": 2.5185185185185186, ""delta"": 2.4814814814814814, ""pct_contrib"": 0.07144761396960812}, {""segment"": ""debit_card"", ""today"": 0.0, ""baseline"": 1.0833333333333333, ""delta"": -1.0833333333333333, ""pct_contrib"": -0.031191682218075185}]}]}",WARN,
2017-03-13,orders,104.0,63.4,1.9018468068158778,NONE,"{'rule': True, 'z': False, 'iqr': True, 'iforest': False}","{""primary_kpi"": ""orders"", ""evidence"": [{""dimension"": ""customer_state"", ""top"": [{""segment"": ""SP"", ""today"": 37.0, ""baseline"": 22.8, ""delta"": 14.2, ""pct_contrib"": 0.5255256386741721}, {""segment"": ""RJ"", ""today"": 18.0, ""baseline"": 8.137931034482758, ""delta"": 9.862068965517242, ""pct_contrib"": 0.3649838092783226}, {""segment"": ""SC"", ""today"": 8.0, ""baseline"": 2.1379310344827585, ""delta"": 5.862068965517242, ""pct_contrib"": 0.21694841810249946}, {""segment"": ""MG"", ""today"": 14.0, ""baseline"": 8.933333333333334, ""delta"": 5.066666666666666, ""pct_contrib"": 0.18751149548937598}, {""segment"": ""PR"", ""today"": 6.0, ""baseline"": 3.5517241379310347, ""delta"": 2.4482758620689653, ""pct_contrib"": 0.09060786873692622}]}, {""dimension"": ""product_category_name"", ""top"": [{""segment"": ""moveis_decoracao"", ""today"": 15.0, ""baseline"": 8.333333333333334, ""delta"": 6.666666666666666, ""pct_contrib"": 1.690765843987499}, {""segment"": ""ferramentas_jardim"", ""today"": 9.0, ""baseline"": 3.0, ""delta"": 6.0, ""pct_contrib"": 1.5216892595887492}, {""segment"": ""beleza_saude"", ""today"": 9.0, ""baseline"": 4.310344827586207, ""delta"": 4.689655172413793, ""pct_contrib"": 1.189366317839482}, {""segment"": ""perfumaria"", ""today"": 5.0, ""baseline"": 1.8846153846153846, ""delta"": 3.1153846153846154, ""pct_contrib"": 0.790107884786466}, {""segment"": ""brinquedos"", ""today"": 6.0, ""baseline"": 3.0, ""delta"": 3.0, ""pct_contrib"": 0.7608446297943746}]}, {""dimension"": ""payment_type"", ""top"": [{""segment"": ""credit_card"", ""today"": 77.0, ""baseline"": 46.333333333333336, ""delta"": 30.666666666666664, ""pct_contrib"": 0.680556345870896}, {""segment"": ""boleto"", ""today"": 22.0, ""baseline"": 13.6, ""delta"": 8.4, ""pct_contrib"": 0.1864132599559411}, {""segment"": ""voucher"", ""today"": 7.0, ""baseline"": 2.9285714285714284, ""delta"": 4.071428571428571, ""pct_contrib"": 0.09035336579497144}, {""segment"": ""debit_card"", ""today"": 3.0, ""baseline"": 1.0769230769230769, ""delta"": 1.9230769230769231, ""pct_contrib"": 0.04267702837819164}]}]}",WARN,
2017-03-18,aov,324.15845070422534,177.2965417680279,2.138414029120199,LOW,"{'rule': True, 'z': False, 'iqr': True, 'iforest': False}","{""primary_kpi"": ""aov"", ""evidence"": [{""dimension"": ""customer_state"", ""top"": [{""segment"": ""MG"", ""today"": 6.0, ""baseline"": 9.033333333333333, ""delta"": -3.033333333333333, ""pct_contrib"": 0.28510224739326684}, {""segment"": ""SP"", ""today"": 27.0, ""baseline"": 25.066666666666666, ""delta"": 1.9333333333333336, ""pct_contrib"": -0.1817135203165877}, {""segment"": ""RS"", ""today"": 6.0, ""baseline"": 4.103448275862069, ""delta"": 1.8965517241379306, ""pct_contrib"": -0.1782564259942744}, {""segment"": ""PE"", ""today"": 0.0, ""baseline"": 1.8666666666666667, ""delta"": -1.8666666666666667, ""pct_contrib"": 0.17544753685739498}, {""segment"": ""MT"", ""today"": 3.0, ""baseline"": 1.1875, ""delta"": 1.8125, ""pct_contrib"": -0.17035642529680092}]}, {""dimension"": ""product_category_name"", ""top"": [{""segment"": ""moveis_decoracao"", ""today"": 4.0, ""baseline"": 8.366666666666667, ""delta"": -4.366666666666667, ""pct_contrib"": 0.12410318534352126}, {""segment"": ""cama_mesa_banho"", ""today"": 9.0, ""baseline"": 6.266666666666667, ""delta"": 2.7333333333333334, ""pct_contrib"": -0.07768290990968506}, {""segment"": ""informatica_acessorios"", ""today"": 6.0, ""baseline"": 3.7666666666666666, ""delta"": 2.2333333333333334, ""pct_contrib"": -0.06347262151157194}, {""segment"": ""beleza_saude"", ""today"": 3.0, ""baseline"": 5.137931034482759, ""delta"": -2.137931034482759, ""pct_contrib"": 0.06076123315055266}, {""segment"": ""papelaria"", ""today"": 0.0, ""baseline"": 2.0625, ""delta"": -2.0625, ""pct_contrib"": 0.05861743964221662}]}, {""dimension"": ""payment_type"", ""top"": [{""segment"": ""boleto"", ""today"": 20.0, ""baseline"": 14.733333333333333, ""delta"": 5.2666666666666675, ""pct_contrib"": 4.121739130434774}, {""segment"": ""credit_card"", ""today"": 48.0, ""baseline"": 50.03333333333333, ""delta"": -2.0333333333333314, ""pct_contrib"": -1.5913043478260818}, {""segment"": ""debit_card"", ""today"": 0.0, ""baseline"": 1.4, ""delta"": -1.4, ""pct_contrib"": -1.095652173913041}, {""segment"": ""voucher"", ""today"": 3.0, ""baseline"": 3.5555555555555554, ""delta"": -0.5555555555555554, ""pct_contrib"": -0.434782608695651}]}]}",WARN,
2017-04-01,aov,295.7442424242424,176.75668544029193,2.2070240803446812,LOW,"{'rule': True, 'z': False, 'iqr': True, 'iforest': False}","{""primary_kpi"": ""aov"", ""evidence"": [{""dimension"": ""customer_state"", ""top"": [{""segment"": ""RJ"", ""today"": 7.0, ""baseline"": 12.066666666666666, ""delta"": -5.066666666666666, ""pct_contrib"": 0.16782517533741909}, {""segment"": ""MG"", ""today"": 8.0, ""baseline"": 11.1, ""delta"": -3.0999999999999996, ""pct_contrib"": 0.10268250859460509}, {""segment"": ""RS"", ""today"": 2.0, ""baseline"": 4.758620689655173, ""delta"": -2.7586206896551726, ""pct_contrib"": 0.09137486860476539}, {""segment"": ""SC"", ""today"": 1.0, ""baseline"": 3.607142857142857, ""delta"": -2.607142857142857, ""pct_contrib"": 0.08635740930191443}, {""segment"": ""ES"", ""today"": 0.0, ""baseline"": 2.0454545454545454, ""delta"": -2.0454545454545454, ""pct_contrib"": 0.06775238836887433}]}, {""dimension"": ""product_category_name"", ""top"": [{""segment"": ""cama_mesa_banho"", ""today"": 14.0, ""baseline"": 7.4, ""delta"": 6.6, ""pct_contrib"": -0.13028855149038007}, {""segment"": null, ""today"": 5.0, ""baseline"": 0.0, ""delta"": 5.0, ""pct_contrib"": -0.0987034480987728}, {""segment"": ""moveis_decoracao"", ""today"": 4.0, ""baseline"": 8.066666666666666, ""delta"": -4.066666666666666, ""pct_contrib"": 0.08027880445366853}, {""segment"": ""informatica_acessorios"", ""today"": 1.0, ""baseline"": 4.8, ""delta"": -3.8, ""pct_contrib"": 0.07501462055506732}, {""segment"": ""ferramentas_jardim"", ""today"": 1.0, ""baseline"": 4.0, ""delta"": -3.0, ""pct_contrib"": 0.05922206885926368}]}, {""dimension"": ""payment_type"", ""top"": [{""segment"": ""credit_card"", ""today"": 49.0, ""baseline"": 61.5, ""delta"": -12.5, ""pct_contrib"": 0.7397811168243932}, {""segment"": ""voucher"", ""today"": 2.0, ""baseline"": 3.9655172413793105, ""delta"": -1.9655172413793105, ""pct_contrib"": 0.11632420319721494}, {""segment"": ""debit_card"", ""today"": 0.0, ""baseline"": 1.7647058823529411, ""delta"": -1.7647058823529411, ""pct_contrib"": 0.1044396870810908}, {""segment"": ""boleto"", ""today"": 17.0, ""baseline"": 17.666666666666668, ""delta"": -0.6666666666666679, ""pct_contrib"": 0.03945499289730104}]}]}",WARN,
2017-04-14,payment_fail_rate,0.11320754716981132,0.030446027903584683,1.9851198251956483,NONE,"{'rule': True, 'z': False, 'iqr': True, 'iforest': False}","{""primary_kpi"": ""payment_fail_rate"", ""evidence"": [{""dimension"": ""customer_state"", ""top"": [{""segment"": ""SP"", ""today"": 15.0, ""baseline"": 32.166666666666664, ""delta"": -17.166666666666664, ""pct_contrib"": 0.35341392614423534}, {""segment"": ""RJ"", ""today"": 5.0, ""baseline"": 10.766666666666667, ""delta"": -5.7666666666666675, ""pct_contrib"": 0.11871962955913153}, {""segment"": ""MG"", ""today"": 5.0, ""baseline"": 10.066666666666666, ""delta"": -5.066666666666666, ""pct_contrib"": 0.10430857626004617}, {""segment"": ""DF"", ""today"": 0.0, ""baseline"": 2.1904761904761907, ""delta"": -2.1904761904761907, ""pct_contrib"": 0.04509581304475681}, {""segment"": ""ES"", ""today"": 0.0, ""baseline"": 2.0952380952380953, ""delta"": -2.0952380952380953, ""pct_contrib"": 0.04313512552107173}]}, {""dimension"": ""product_category_name"", ""top"": [{""segment"": ""cama_mesa_banho"", ""today"": 2.0, ""baseline"": 8.0, ""delta"": -6.0, ""pct_contrib"": 0.08723893524181628}, {""segment"": ""utilidades_domesticas"", ""today"": 2.0, ""baseline"": 5.344827586206897, ""delta"": -3.344827586206897, ""pct_contrib"": 0.048633199531357356}, {""segment"": ""beleza_saude"", ""today"": 3.0, ""baseline"": 5.966666666666667, ""delta"": -2.966666666666667, ""pct_contrib"": 0.043134806869564724}, {""segment"": ""brinquedos"", ""today"": 1.0, ""baseline"": 3.586206896551724, ""delta"": -2.586206896551724, ""pct_contrib"": 0.03760298932836909}, {""segment"": null, ""today"": 0.0, ""baseline"": 2.4782608695652173, ""delta"": -2.4782608695652173, ""pct_contrib"": 0.036033473252054554}]}, {""dimension"": ""payment_type"", ""top"": [{""segment"": ""credit_card"", ""today"": 40.0, ""baseline"": 60.96666666666667, ""delta"": -20.96666666666667, ""pct_contrib"": 0.57963247842479}, {""segment"": ""boleto"", ""today"": 6.0, ""baseline"": 16.8, ""delta"": -10.8, ""pct_contrib"": 0.29857062481658503}, {""segment"": ""voucher"", ""today"": 0.0, ""baseline"": 3.7586206896551726, ""delta"": -3.7586206896551726, ""pct_contrib"": 0.10390867849619338}, {""segment"": ""debit_card"", ""today"": 1.0, ""baseline"": 1.6470588235294117, ""delta"": -0.6470588235294117, ""pct_contrib"": 0.01788821826243156}]}]}",WARN,
2017-04-17,payment_fail_rate,0.1076923076923077,0.03492245632573157,1.3322792620633501,NONE,"{'rule': True, 'z': False, 'iqr': True, 'iforest': False}","{""primary_kpi"": ""payment_fail_rate"", ""evidence"": [{""dimension"": ""customer_state"", ""top"": [{""segment"": ""SP"", ""today"": 18.0, ""baseline"": 30.333333333333332, ""delta"": -12.333333333333332, ""pct_contrib"": 0.36744911638577976}, {""segment"": ""PR"", ""today"": 6.0, ""baseline"": 3.1724137931034484, ""delta"": 2.8275862068965516, ""pct_contrib"": -0.08424276107260188}, {""segment"": ""MG"", ""today"": 7.0, ""baseline"": 9.466666666666667, ""delta"": -2.466666666666667, ""pct_contrib"": 0.07348982327715596}, {""segment"": ""RJ"", ""today"": 8.0, ""baseline"": 10.266666666666667, ""delta"": -2.2666666666666675, ""pct_contrib"": 0.06753118895738658}, {""segment"": ""DF"", ""today"": 0.0, ""baseline"": 2.1052631578947367, ""delta"": -2.1052631578947367, ""pct_contrib"": 0.06272246652388844}]}, {""dimension"": ""product_category_name"", ""top"": [{""segment"": ""cama_mesa_banho"", ""today"": 3.0, ""baseline"": 7.6, ""delta"": -4.6, ""pct_contrib"": 0.08253283430762014}, {""segment"": ""utilidades_domesticas"", ""today"": 2.0, ""baseline"": 4.9655172413793105, ""delta"": -2.9655172413793105, ""pct_contrib"": 0.05320707459111944}, {""segment"": ""esporte_lazer"", ""today"": 3.0, ""baseline"": 5.586206896551724, ""delta"": -2.586206896551724, ""pct_contrib"": 0.04640151853876695}, {""segment"": null, ""today"": 0.0, ""baseline"": 2.5, ""delta"": -2.5, ""pct_contrib"": 0.04485480125414138}, {""segment"": ""telefonia"", ""today"": 3.0, ""baseline"": 5.1, ""delta"": -2.0999999999999996, ""pct_contrib"": 0.037678033053478756}]}, {""dimension"": ""payment_type"", ""top"": [{""segment"": ""credit_card"", ""today"": 43.0, ""baseline"": 58.2, ""delta"": -15.200000000000003, ""pct_contrib"": 0.7642423459501356}, {""segment"": ""boleto"", ""today"": 13.0, ""baseline"": 15.666666666666666, ""delta"": -2.666666666666666, ""pct_contrib"": 0.13407760455265533}, {""segment"": ""voucher"", ""today"": 2.0, ""baseline"": 3.5517241379310347, ""delta"": -1.5517241379310347, ""pct_contrib"": 0.07801929575262274}, {""segment"": ""debit_card"", ""today"": 1.0, ""baseline"": 1.4705882352941178, ""delta"": -0.47058823529411775, ""pct_contrib"": 0.023660753744586243}]}]}",WARN,
2017-04-18,revenue,28582.199999999986,13592.644,2.399900244121614,LOW,"{'rule': True, 'z': False, 'iqr': True, 'iforest': True}","{""primary_kpi"": ""revenue"", ""evidence"": [{""dimension"": ""customer_state"", ""top"": [{""segment"": ""DF"", ""today"": 8389.52, ""baseline"": 285.8372222222222, ""delta"": 8103.682777777778, ""pct_contrib"": 0.6233154398729558}, {""segment"": ""SP"", ""today"": 8320.86, ""baseline"": 4809.016333333333, ""delta"": 3511.8436666666676, ""pct_contrib"": 0.27012241716273844}, {""segment"": ""RS"", ""today"": 2484.41, ""baseline"": 677.4596666666667, ""delta"": 1806.9503333333332, ""pct_contrib"": 0.13898619587366287}, {""segment"": ""RN"", ""today"": 671.4, ""baseline"": 185.46499999999997, ""delta"": 485.935, ""pct_contrib"": 0.03737693053647945}, {""segment"": ""PB"", ""today"": 0.0, ""baseline"": 349.1793333333334, ""delta"": -349.1793333333334, ""pct_contrib"": -0.02685801946098594}]}, {""dimension"": ""product_category_name"", ""top"": [{""segment"": ""eletroportateis"", ""today"": 15092.01, ""baseline"": 1207.2484615384615, ""delta"": 13884.761538461538, ""pct_contrib"": 1.5551974939027113}, {""segment"": ""casa_conforto"", ""today"": 1674.66, ""baseline"": 262.911, ""delta"": 1411.749, ""pct_contrib"": 0.1581264828162782}, {""segment"": ""cama_mesa_banho"", ""today"": 2360.8799999999997, ""baseline"": 979.9406666666667, ""delta"": 1380.9393333333328, ""pct_contrib"": 0.15467556893091894}, {""segment"": ""relogios_presentes"", ""today"": 0.0, ""baseline"": 951.4651851851852, ""delta"": -951.4651851851852, ""pct_contrib"": -0.1065712412443516}, {""segment"": ""construcao_ferramentas_ferramentas"", ""today"": 0.0, ""baseline"": 748.27, ""delta"": -748.27, ""pct_contrib"": -0.0838118555755566}]}, {""dimension"": ""payment_type"", ""top"": [{""segment"": ""credit_card"", ""today"": 25929.200000000004, ""baseline"": 9992.028666666669, ""delta"": 15937.171333333335, ""pct_contrib"": 1.0219927649089415}, {""segment"": ""boleto"", ""today"": 1585.1599999999999, ""baseline"": 2209.2866666666664, ""delta"": -624.1266666666666, ""pct_contrib"": -0.0400229704744385}, {""segment"": ""debit_card"", ""today"": 393.46000000000004, ""baseline"": 161.45833333333334, ""delta"": 232.0016666666667, ""pct_contrib"": 0.014877422085827438}, {""segment"": ""voucher"", ""today"": 674.38, ""baseline"": 625.2148275862069, ""delta"": 49.16517241379313, ""pct_contrib"": 0.003152783479669599}]}]}",WARN,
2017-04-18,aov,402.5661971830984,178.15487027578678,2.3826549446145098,LOW,"{'rule': True, 'z': False, 'iqr': True, 'iforest': True}","{""primary_kpi"": ""revenue"", ""evidence"": [{""dimension"": ""customer_state"", ""top"": [{""segment"": ""DF"", ""today"": 8389.52, ""baseline"": 285.8372222222222, ""delta"": 8103.682777777778, ""pct_contrib"": 0.6233154398729558}, {""segment"": ""SP"", ""today"": 8320.86, ""baseline"": 4809.016333333333, ""delta"": 3511.8436666666676, ""pct_contrib"": 0.27012241716273844}, {""segment"": ""RS"", ""today"": 2484.41, ""baseline"": 677.4596666666667, ""delta"": 1806.9503333333332, ""pct_contrib"": 0.13898619587366287}, {""segment"": ""RN"", ""today"": 671.4, ""baseline"": 185.46499999999997, ""delta"": 485.935, ""pct_contrib"": 0.03737693053647945}, {""segment"": ""PB"", ""today"": 0.0, ""baseline"": 349.1793333333334, ""delta"": -349.1793333333334, ""pct_contrib"": -0.02685801946098594}]}, {""dimension"": ""product_category_name"", ""top"": [{""segment"": ""eletroportateis"", ""today"": 15092.01, ""baseline"": 1207.2484615384615, ""delta"": 13884.761538461538, ""pct_contrib"": 1.5551974939027113}, {""segment"": ""casa_conforto"", ""today"": 1674.66, ""baseline"": 262.911, ""delta"": 1411.749, ""pct_contrib"": 0.1581264828162782}, {""segment"": ""cama_mesa_banho"", ""today"": 2360.8799999999997, ""baseline"": 979.9406666666667, ""delta"": 1380.9393333333328, ""pct_contrib"": 0.15467556893091894}, {""segment"": ""relogios_presentes"", ""today"": 0.0, ""baseline"": 951.4651851851852, ""delta"": -951.4651851851852, ""pct_contrib"": -0.1065712412443516}, {""segment"": ""construcao_ferramentas_ferramentas"", ""today"": 0.0, ""baseline"": 748.27, ""delta"": -748.27, ""pct_contrib"": -0.0838118555755566}]}, {""dimension"": ""payment_type"", ""top"": [{""segment"": ""credit_card"", ""today"": 25929.200000000004, ""baseline"": 9992.028666666669, ""delta"": 15937.171333333335, ""pct_contrib"": 1.0219927649089415}, {""segment"": ""boleto"", ""today"": 1585.1599999999999, ""baseline"": 2209.2866666666664, ""delta"": -624.1266666666666, ""pct_contrib"": -0.0400229704744385}, {""segment"": ""debit_card"", ""today"": 393.46000000000004, ""baseline"": 161.45833333333334, ""delta"": 232.0016666666667, ""pct_contrib"": 0.014877422085827438}, {""segment"": ""voucher"", ""today"": 674.38, ""baseline"": 625.2148275862069, ""delta"": 49.16517241379313, ""pct_contrib"": 0.003152783479669599}]}]}",WARN,
2017-04-18,payment_fail_rate,0.0,0.03492245632573157,-1.1731191986283858,NONE,"{'rule': True, 'z': False, 'iqr': False, 'iforest': True}","{""primary_kpi"": ""revenue"", ""evidence"": [{""dimension"": ""customer_state"", ""top"": [{""segment"": ""DF"", ""today"": 8389.52, ""baseline"": 285.8372222222222, ""delta"": 8103.682777777778, ""pct_contrib"": 0.6233154398729558}, {""segment"": ""SP"", ""today"": 8320.86, ""baseline"": 4809.016333333333, ""delta"": 3511.8436666666676, ""pct_contrib"": 0.27012241716273844}, {""segment"": ""RS"", ""today"": 2484.41, ""baseline"": 677.4596666666667, ""delta"": 1806.9503333333332, ""pct_contrib"": 0.13898619587366287}, {""segment"": ""RN"", ""today"": 671.4, ""baseline"": 185.46499999999997, ""delta"": 485.935, ""pct_contrib"": 0.03737693053647945}, {""segment"": ""PB"", ""today"": 0.0, ""baseline"": 349.1793333333334, ""delta"": -349.1793333333334, ""pct_contrib"": -0.02685801946098594}]}, {""dimension"": ""product_category_name"", ""top"": [{""segment"": ""eletroportateis"", ""today"": 15092.01, ""baseline"": 1207.2484615384615, ""delta"": 13884.761538461538, ""pct_contrib"": 1.5551974939027113}, {""segment"": ""casa_conforto"", ""today"": 1674.66, ""baseline"": 262.911, ""delta"": 1411.749, ""pct_contrib"": 0.1581264828162782}, {""segment"": ""cama_mesa_banho"", ""today"": 2360.8799999999997, ""baseline"": 979.9406666666667, ""delta"": 1380.9393333333328, ""pct_contrib"": 0.15467556893091894}, {""segment"": ""relogios_presentes"", ""today"": 0.0, ""baseline"": 951.4651851851852, ""delta"": -951.4651851851852, ""pct_contrib"": -0.1065712412443516}, {""segment"": ""construcao_ferramentas_ferramentas"", ""today"": 0.0, ""baseline"": 748.27, ""delta"": -748.27, ""pct_contrib"": -0.0838118555755566}]}, {""dimension"": ""payment_type"", ""top"": [{""segment"": ""credit_card"", ""today"": 25929.200000000004, ""baseline"": 9992.028666666669, ""delta"": 15937.171333333335, ""pct_contrib"": 1.0219927649089415}, {""segment"": ""boleto"", ""today"": 1585.1599999999999, ""baseline"": 2209.2866666666664, ""delta"": -624.1266666666666, ""pct_contrib"": -0.0400229704744385}, {""segment"": ""debit_card"", ""today"": 393.46000000000004, ""baseline"": 161.45833333333334, ""delta"": 232.0016666666667, ""pct_contrib"": 0.014877422085827438}, {""segment"": ""voucher"", ""today"": 674.38, ""baseline"": 625.2148275862069, ""delta"": 49.16517241379313, ""pct_contrib"": 0.003152783479669599}]}]}",WARN,
